Code,Name,ZipCode
4201307,ARAQUARI,89245
4201406,ARARANGUA,88900
4201505,ARMAZEM,88740
4201604,ARROIO TRINTA,89590
4201653,ARVOREDO,89778
4201703,ASCURRA,89138
4201802,ATALANTA,88410
4201901,AURORA,89186
4201950,BALNEARIO ARROIO DO SILVA,88914
4202008,BALNEARIO CAMBORIU,88330
4202057,BALNEARIO BARRA DO SUL,89247
4202073,BALNEARIO GAIVOTA,88955
4202081,BANDEIRANTE,89905
4202099,BARRA BONITA,89909
4202107,BARRA VELHA,88390
4202131,BELA VISTA DO TOLDO,89478
4202156,BELMONTE,89925
4202206,BENEDITO NOVO,89124
4202305,BIGUACU,88160
4202404,BLUMENAU,89000
4202438,BOCAINA DO SUL,88538
4202453,BOMBINHAS,88215
4202503,BOM JARDIM DA SERRA,88640
4202537,BOM JESUS,89824
4202578,BOM JESUS DO OESTE,89873
4202602,BOM RETIRO,88680
4202701,BOTUVERA,88370
4202800,BRACO DO NORTE,88750
4202859,BRACO DO TROMBUDO,89178
4202875,BRUNOPOLIS,89634
4202909,BRUSQUE,88350
4203006,CACADOR,89500
4203105,CAIBI,89888
4203154,CALMON,89430
4203204,CAMBORIU,88340
4203253,CAPAO ALTO,88548
4203303,CAMPO ALEGRE,89294
4203402,CAMPO BELO DO SUL,88580
4203501,CAMPO ERE,89980
4203600,CAMPOS NOVOS,89620
4203709,CANELINHA,88230
4203808,CANOINHAS,89460
4203907,CAPINZAL,89665
4203956,CAPIVARI DE BAIXO,88745
4204004,CATANDUVAS,89670
4204103,CAXAMBU DO SUL,89880
4204152,CELSO RAMOS,88598
4204178,CERRO NEGRO,88585
4204194,CHAPADAO DO LAGEADO,88407
4204202,CHAPECO,89800
4204251,COCAL DO SUL,88845
4204301,CONCORDIA,89700
4204350,CORDILHEIRA ALTA,89819
4204400,CORONEL FREITAS,89840
4204459,CORONEL MARTINS,89837
4204509,CORUPA,89280
4204558,CORREIA PINTO,88535
4204608,CRICIUMA,88800
4204707,CUNHA PORA,89890
4204756,CUNHATAI,89886
4204806,CURITIBANOS,89520
4204905,DESCANSO,89910
4205001,DIONISIO CERQUEIRA,89950
4205100,DONA EMMA,89155
4205159,DOUTOR PEDRINHO,89126
4205175,ENTRE RIOS,89862
4205191,ERMO,88935
4205209,ERVAL VELHO,89613
4205308,FAXINAL DOS GUEDES,89694
4205357,FLOR DO SERTAO,89878
4205407,FLORIANOPOLIS,88000
4205431,FORMOSA DO SUL,89859
4205456,FORQUILHINHA,88850
4205506,FRAIBURGO,89580
4205555,FREI ROGERIO,89530
4205605,GALVAO,89838
4205704,GAROPABA,88495
4205803,GARUVA,89248
4205902,GASPAR,89110
4206009,GOVERNADOR CELSO RAMOS,88190
4206108,GRAO PARA,88890
4206207,GRAVATAL,88735
4206306,GUABIRUBA,88360
4206405,GUARACIABA,89920
4206504,GUARAMIRIM,89270
4206603,GUARUJA DO SUL,89940
4206652,GUATAMBU,89817
4206702,HERVAL D OESTE,89610
4206751,IBIAM,89652
4206801,IBICARE,89640
4206900,IBIRAMA,89140
4207007,ICARA,88820
4207106,ILHOTA,88320
4207205,IMARUI,88770
4207304,IMBITUBA,88780
4207403,IMBUIA,88440
4207502,INDAIAL,89130
4207577,IOMERE,89558
4207601,IPIRA,89669
4207650,IPORA DO OESTE,89899
4207684,IPUACU,89832
4207700,IPUMIRIM,89790
4207759,IRACEMINHA,89891
4207809,IRANI,89680
4207858,IRATI,89856
4207908,IRINEOPOLIS,89440
4208005,ITA,89760
4208104,ITAIOPOLIS,89340
4208203,ITAJAI,88300
4208302,ITAPEMA,88220
4208401,ITAPIRANGA,89896
4208450,ITAPOA,89249
4208500,ITUPORANGA,88400
4208609,JABORA,89677
4208708,JACINTO MACHADO,88950
4208807,JAGUARUNA,88715
4208906,JARAGUA DO SUL,89250
4208955,JARDINOPOLIS,89848
4209003,JOACABA,89600
4209102,JOINVILLE,89200
4209151,JOSE BOITEUX,89145
4209177,JUPIA,89839
4209201,LACERDOPOLIS,89660
4209300,LAGES,88500
4209409,LAGUNA,88790
4209458,LAJEADO GRANDE,89828
4209508,LAURENTINO,89170
4209607,LAURO MULLER,88880
4209706,LEBON REGIS,89515
4209805,LEOBERTO LEAL,88445
4209854,LINDOIA DO SUL,89735
4209904,LONTRAS,89182
4210001,LUIZ ALVES,89115
4210035,LUZERNA,89609
4210050,MACIEIRA,89518
4210100,MAFRA,89300
4210209,MAJOR GERCINO,88260
4210308,MAJOR VIEIRA,89480
4210407,MARACAJA,88915
4210506,MARAVILHA,89874
4210555,MAREMA,89860
4210605,MASSARANDUBA,89108
4210704,MATOS COSTA,89420
4210803,MELEIRO,88920
4210852,MIRIM DOCE,89194
4210902,MODELO,89872
4211009,MONDAI,89893
4211058,MONTE CARLO,89618
4211108,MONTE CASTELO,89380
4211207,MORRO DA FUMACA,88830
4211256,MORRO GRANDE,88925
4211306,NAVEGANTES,88375
4211405,NOVA ERECHIM,89865
4211454,NOVA ITABERABA,89818
4211504,NOVA TRENTO,88270
4211603,NOVA VENEZA,88865
4211652,NOVO HORIZONTE,89998
4211702,ORLEANS,88870
4211751,OTACILIO COSTA,88540
4211801,OURO,89663
4211850,OURO VERDE,89834
4211876,PAIAL,89765
4211892,PAINEL,88543
4211900,PALHOCA,88130
4212007,PALMA SOLA,89985
4212056,PALMEIRA,88545
4212106,PALMITOS,89887
4212205,PAPANDUVA,89370
4212239,PARAISO,89906
4212254,PASSO DE TORRES,88980
4212270,PASSOS MAIA,89687
4212304,PAULO LOPES,88490
4212403,PEDRAS GRANDES,88720
4212502,PENHA,88385
4212601,PERITIBA,89750
4212700,PETROLANDIA,88430
4212809,PICARRAS,88380
4212908,PINHALZINHO,89870
4213005,PINHEIRO PRETO,89570
4213104,PIRATUBA,89667
4213153,PLANALTO ALEGRE,89882
4213203,POMERODE,89107
4213302,PONTE ALTA,88550
4213351,PONTE ALTA DO NORTE,89535
4213401,PONTE SERRADA,89683
4213500,PORTO BELO,88210
4213609,PORTO UNIAO,89400
4213708,POUSO REDONDO,89172
4213807,PRAIA GRANDE,88990
4213906,PRESIDENTE CASTELO BRANCO,89745
4214003,PRESIDENTE GETULIO,89150
4214102,PRESIDENTE NEREU,89184
4214151,PRINCESA,89935
4214201,QUILOMBO,89850
4214300,RANCHO QUEIMADO,88470
4214409,RIO DAS ANTAS,89550
4214508,RIO DO CAMPO,89198
4214607,RIO DO OESTE,89180
4214706,RIO DOS CEDROS,89121
4214805,RIO DO SUL,89160
4214904,RIO FORTUNA,88760
4215000,RIO NEGRINHO,89295
4215059,RIO RUFINO,88658
4215075,RIQUEZA,89895
4215109,RODEIO,89136
4215208,ROMELANDIA,89908
4215307,SALETE,89196
4215356,SALTINHO,89981
4215406,SALTO VELOSO,89595
4215455,SANGAO,88717
4215505,SANTA CECILIA,89540
4215554,SANTA HELENA,89915
4215604,SANTA ROSA DE LIMA,88763
4215653,SANTA ROSA DO SUL,88965
4215679,SANTA TEREZINHA,89199
4215687,SANTA TEREZINHA DO PROGRESSO,89983
4215695,SANTIAGO DO SUL,89854
4215703,SANTO AMARO DA IMPERATRIZ,88140
4215752,SAO BERNARDINO,89982
4215802,SAO BENTO DO SUL,89290
4215901,SAO BONIFACIO,88485
4216008,SAO CARLOS,89885
4216057,SAO CRISTOVAO DO SUL,89533
4216107,SAO DOMINGOS,89835
4216206,SAO FRANCISCO DO SUL,89240
4216255,SAO JOAO DO OESTE,89897
4216305,SAO JOAO BATISTA,88240
4216354,SAO JOAO DO ITAPERIU,88395
4216404,SAO JOAO DO SUL,88970
4216503,SAO JOAQUIM,88600
4216602,SAO JOSE,88100
4216701,SAO JOSE DO CEDRO,89930
4216800,SAO JOSE DO CERRITO,88570
4216909,SAO LOURENCO DO OESTE,89990
4217006,SAO LUDGERO,88730
4217105,SAO MARTINHO,88765
4217154,SAO MIGUEL DA BOA VISTA,89879
4217204,SAO MIGUEL D OESTE,89900
4217253,SAO PEDRO DE ALCANTARA,88125
4217303,SAUDADES,89868
4217402,SCHROEDER,89275
4217501,SEARA,89770
4217550,SERRA ALTA,89871
4217600,SIDEROPOLIS,88860
4217709,SOMBRIO,88960
4217758,SUL BRASIL,89855
4217808,TAIO,89190
4217907,TANGARA,89642
4217956,TIGRINHOS,89875
4218004,TIJUCAS,88200
4218103,TIMBE DO SUL,88940
4218202,TIMBO,89120
4218251,TIMBO GRANDE,89545
4218301,TRES BARRAS,89490
4218350,TREVISO,88862
4218400,TREZE DE MAIO,88710
4218509,TREZE TILIAS,89650
4218608,TROMBUDO CENTRAL,89176
4218707,TUBARAO,88700
4218756,TUNAPOLIS,89898
4218806,TURVO,88930
4218855,UNIAO DO OESTE,89845
4218905,URUBICI,88650
4218954,URUPEMA,88625
4219002,URUSSANGA,88840
4219101,VARGEAO,89690
4219150,VARGEM,89638
4219176,VARGEM BONITA,89675
4219200,VIDAL RAMOS,88443
4219309,VIDEIRA,89560
4219358,VITOR MEIRELES,89148
4219408,WITMARSUM,89157
4219507,XANXERE,89820
4219606,XAVANTINA,89780
4219705,XAXIM,89825
4219853,ZORTEA,89633
4300059,AGUA SANTA,99965
4300109,AGUDO,96540
4300208,AJURICABA,98750
4300307,ALECRIM,98950
4300406,ALEGRETE,97540
4300455,ALEGRIA,98905
4300505,ALPESTRE,98480
4300554,ALTO ALEGRE,99430
4300570,ALTO FELIZ,95773
4300604,ALVORADA,94800
4300638,AMARAL FERRADOR,96635
4300646,AMETISTA DO SUL,98465
4300661,ANDRE DA ROCHA,95310
4300703,ANTA GORDA,95980
4300802,ANTONIO PRADO,95250
4300851,ARAMBARE,96178
4300877,ARARICA,93880
4300901,ARATIBA,99770
4301008,ARROIO DO MEIO,95940
4301057,ARROIO DO SAL,95585
4301107,ARROIO DOS RATOS,96740
4301206,ARROIO DO TIGRE,96950
4301305,ARROIO GRANDE,96330
4301404,ARVOREZINHA,95995
4301503,AUGUSTO PESTANA,98740
4301552,AUREA,99835
4301602,BAGE,96400
4301636,BALNEARIO PINHAL,95599
4301651,BARAO,95730
4301701,BARAO DE COTEGIPE,99740
4301750,BARAO DO TRIUNFO,96735
4301800,BARRACAO,95370
4301859,BARRA DO GUARITA,98530
4301875,BARRA DO QUARAI,97538
4301909,BARRA DO RIBEIRO,96790
4301925,BARRA DO RIO AZUL,99795
4301958,BARRA FUNDA,99585
4302006,BARROS CASSAL,99360
4302055,BENJAMIN CONSTANT DO SUL,99650
4302105,BENTO GONCALVES,95700
4302154,BOA VISTA DAS MISSOES,98335
4302204,BOA VISTA DO BURICA,98918
4302253,BOA VISTA DO SUL,95727
4302303,BOM JESUS,95290
4302352,BOM PRINCIPIO,95765
4302378,BOM PROGRESSO,98575
4302402,BOM RETIRO DO SUL,95870
4302451,BOQUEIRAO DO LEAO,95920
4302501,BOSSOROCA,97850
4302600,BRAGA,98560
4302659,BROCHIER,95790
4302709,BUTIA,96750
4302808,CACAPAVA DO SUL,96570
4302907,CACEQUI,97450
4303004,CACHOEIRA DO SUL,96500
4303103,CACHOEIRINHA,94900
4303202,CACIQUE DOBLE,99860
4303301,CAIBATE,97930
4303400,CAICARA,98440
4303509,CAMAQUA,96180
4303558,CAMARGO,99165
4303608,CAMBARA DO SUL,95480
4303673,CAMPESTRE DA SERRA,95255
4303707,CAMPINA DAS MISSOES,98975
4303806,CAMPINAS DO SUL,99660
4303905,CAMPO BOM,93700
4304002,CAMPO NOVO,98570
4304101,CAMPOS BORGES,99435
4304200,CANDELARIA,96930
4304309,CANDIDO GODOI,98970
4304358,CANDIOTA,96495
4304408,CANELA,95680
4304507,CANGUCU,96600
4304606,CANOAS,92000
4304630,CAPAO DA CANOA,95555
4304663,CAPAO DO LEAO,96160
4304671,CAPIVARI DO SUL,95552
4304689,CAPELA DE SANTANA,95745
4304697,CAPITAO,95935
4304705,CARAZINHO,99500
4304713,CARAA,95515
4304804,CARLOS BARBOSA,95185
4304853,CARLOS GOMES,99825
4304903,CASCA,99260
4304952,CASEIROS,95315
4305009,CATUIPE,98770
4305108,CAXIAS DO SUL,95000
4305116,CENTENARIO,99838
4305124,CERRITO,96395
4305132,CERRO BRANCO,96535
4305157,CERRO GRANDE,98340
4305173,CERRO GRANDE DO SUL,96770
4305207,CERRO LARGO,97900
4305306,CHAPADA,99530
4305355,CHARQUEADAS,96745
4305371,CHARRUA,99960
4305405,CHIAPETA,98760
4305439,CHUI,96255
4305447,CHUVISCA,96193
4305454,CIDREIRA,95595
4305504,CIRIACO,99970
4305587,COLINAS,95895
4305603,COLORADO,99460
4305702,CONDOR,98290
4305801,CONSTANTINA,99680
4305850,COQUEIROS DO SUL,99528
4305876,CORONEL BARROS,98735
4305900,CORONEL BICACO,98580
4305959,COTIPORA,95335
4305975,COXILHA,99145
4306007,CRISSIUMAL,98640
4306056,CRISTAL,96195
4306072,CRISTAL DO SUL,98368
4306106,CRUZ ALTA,98000
4306205,CRUZEIRO DO SUL,95930
4306304,DAVID CANABARRO,99980
4306320,DERRUBADAS,98528
4306353,DEZESSEIS DE NOVEMBRO,97845
4306379,DILERMANDO DE AGUIAR,97180
4306403,DOIS IRMAOS,93950
4306429,DOIS IRMAOS DAS MISSOES,98385
